"URL","Date","Value"
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):専門的・技術的職業:製造技術者"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):専門的・技術的職業:製造技術者</a>","2017年07月",0.59
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):専門的・技術的職業:建築・土木・測量技術者"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):専門的・技術的職業:建築・土木・測量技術者</a>","2017年07月",5.54
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):専門的・技術的職業:情報処理・通信技術者"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):専門的・技術的職業:情報処理・通信技術者</a>","2017年07月",2.55
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):専門的・技術的職業:その他の技術者"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):専門的・技術的職業:その他の技術者</a>","2017年07月",1.73
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):専門的・技術的職業:医師、歯科医師、獣医師、薬剤師 "" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):専門的・技術的職業:医師、歯科医師、獣医師、薬剤師 </a>","2017年07月",6.53
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):専門的・技術的職業:保健師、助産師、看護師"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):専門的・技術的職業:保健師、助産師、看護師</a>","2017年07月",2.45
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):専門的・技術的職業:医療技術者"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):専門的・技術的職業:医療技術者</a>","2017年07月",2.77
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):専門的・技術的職業:その他の保健医療の職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):専門的・技術的職業:その他の保健医療の職業</a>","2017年07月",1.68
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):専門的・技術的職業:社会福祉の専門的職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):専門的・技術的職業:社会福祉の専門的職業</a>","2017年07月",2.69
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):専門的・技術的職業:美術家、デザイナー、写真家、映像撮影者"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):専門的・技術的職業:美術家、デザイナー、写真家、映像撮影者</a>","2017年07月",0.46
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):専門的・技術的職業:その他の専門的職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):専門的・技術的職業:その他の専門的職業</a>","2017年07月",0.65
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):事務的職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):事務的職業</a>","2017年07月",0.38
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):事務的職業:一般事務の職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):事務的職業:一般事務の職業</a>","2017年07月",0.29
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):事務的職業:会計事務の職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):事務的職業:会計事務の職業</a>","2017年07月",0.62
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):事務的職業:生産関連事務の職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):事務的職業:生産関連事務の職業</a>","2017年07月",1.38
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):事務的職業:営業・販売関連事務の職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):事務的職業:営業・販売関連事務の職業</a>","2017年07月",0.81
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):事務的職業:外勤事務の職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):事務的職業:外勤事務の職業</a>","2017年07月",4.22
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):事務的職業:運輸・郵便事務の職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):事務的職業:運輸・郵便事務の職業</a>","2017年07月",2.81
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):事務的職業:事務用機器操作の職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):事務的職業:事務用機器操作の職業</a>","2017年07月",0.4
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):販売の職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):販売の職業</a>","2017年07月",1.71
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):販売の職業:商品販売の職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):販売の職業:商品販売の職業</a>","2017年07月",1.74
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):販売の職業:販売類似の職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):販売の職業:販売類似の職業</a>","2017年07月",3.05
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):販売の職業:営業の職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):販売の職業:営業の職業</a>","2017年07月",1.64
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):サービスの職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):サービスの職業</a>","2017年07月",2.65
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):サービスの職業:家庭生活支援サービスの職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):サービスの職業:家庭生活支援サービスの職業</a>","2017年07月",1.3
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):サービスの職業:介護サービスの職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):サービスの職業:介護サービスの職業</a>","2017年07月",2.93
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):サービスの職業:保健医療サービスの職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):サービスの職業:保健医療サービスの職業</a>","2017年07月",2.28
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):サービスの職業:生活衛生サービスの職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):サービスの職業:生活衛生サービスの職業</a>","2017年07月",3.87
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):サービスの職業:飲食物調理の職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):サービスの職業:飲食物調理の職業</a>","2017年07月",2.83
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):サービスの職業:接客・給仕の職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):サービスの職業:接客・給仕の職業</a>","2017年07月",2.68
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):サービスの職業:居住施設・ビル等の管理の職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):サービスの職業:居住施設・ビル等の管理の職業</a>","2017年07月",0.76
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):サービスの職業:その他のサービスの職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):サービスの職業:その他のサービスの職業</a>","2017年07月",1.2
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):保安の職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):保安の職業</a>","2017年07月",6.93
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):農林漁業の職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):農林漁業の職業</a>","2017年07月",1.26
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):生産工程の職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):生産工程の職業</a>","2017年07月",1.48
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):生産工程の職業:生産設備制御・監視の職業（金属）"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):生産工程の職業:生産設備制御・監視の職業（金属）</a>","2017年07月",1.31
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):生産工程の職業:生産設備制御・監視の職業（金属除く）"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):生産工程の職業:生産設備制御・監視の職業（金属除く）</a>","2017年07月",1.47
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):生産工程の職業:生産設備制御・監視の職業（機械組立）"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):生産工程の職業:生産設備制御・監視の職業（機械組立）</a>","2017年07月",0.96
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):生産工程の職業:金属材料製造、金属加工、金属溶接・溶断の職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):生産工程の職業:金属材料製造、金属加工、金属溶接・溶断の職業</a>","2017年07月",2.34
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):生産工程の職業:製品製造・加工処理の職業（金属除く）"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):生産工程の職業:製品製造・加工処理の職業（金属除く）</a>","2017年07月",1.42
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):生産工程の職業:機械組立の職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):生産工程の職業:機械組立の職業</a>","2017年07月",0.7
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):生産工程の職業:機械整備・修理の職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):生産工程の職業:機械整備・修理の職業</a>","2017年07月",2.98
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):生産工程の職業:製品検査の職業（金属）"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):生産工程の職業:製品検査の職業（金属）</a>","2017年07月",1.91
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):生産工程の職業:製品検査の職業（金属除く）"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):生産工程の職業:製品検査の職業（金属除く）</a>","2017年07月",2.11
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):生産工程の職業:機械検査の職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):生産工程の職業:機械検査の職業</a>","2017年07月",1.89
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):生産工程の職業:生産関連・生産類似の職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):生産工程の職業:生産関連・生産類似の職業</a>","2017年07月",1.12
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):輸送・機械運転の職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):輸送・機械運転の職業</a>","2017年07月",2.22
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):輸送・機械運転の職業:鉄道運転の職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):輸送・機械運転の職業:鉄道運転の職業</a>","2017年07月",0.63
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):輸送・機械運転の職業:自動車運転の職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):輸送・機械運転の職業:自動車運転の職業</a>","2017年07月",2.66
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):輸送・機械運転の職業:船舶・航空機運転の職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):輸送・機械運転の職業:船舶・航空機運転の職業</a>","2017年07月",0.53
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):輸送・機械運転の職業:その他の輸送の職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):輸送・機械運転の職業:その他の輸送の職業</a>","2017年07月",0.93
"<a href=""http://indicator.am-consulting.co.jp/indicators.html#職業別有効求人倍率(パートタイムを除く常用):輸送・機械運転の職業:定置・建設機械運転の職業"" target=""_blank"">職業別有効求人倍率(パートタイムを除く常用):輸送・機械運転の職業:定置・建設機械運転の職業</a>","2017年07月",1.58
