"Date","総数","アジア計","韓国","中国","台湾","香港","タイ","シンガポール","マレーシア","インドネシア","フィリピン","ベトナム","インド","イスラエル","トルコ","ヨーロッパ計","英国","フランス","ドイツ","イタリア","ロシア","スペイン","スウェーデン","オランダ","スイス","ベルギー","フィンランド","ポーランド","デンマーク","ノルウェー","オーストリア","ポルトガル","アイルランド","アフリカ計","北アメリカ計","米国","カナダ","メキシコ","南アメリカ計","ブラジル","オセアニア計","豪州","ニュージーランド","無国籍・その他","マカオ","モンゴル","その他アジア","その他ヨーロッパ","その他北アメリカ","その他南アメリカ","その他オセアニア"
2008-05-01,736122,554649,229043,74637,134862,39104,20309,15699,10508,4045,8380,2625,6923,1098,1009,70188,16002,12864,10673,4059,4848,2604,2325,2843,1960,1540,1461,944,1124,665,1156,533,1004,3677,84917,69105,13010,2252,3541,1703,19087,16412,2478,63,,,,,,,
2008-06-01,681563,502803,195661,61355,130285,52012,9929,16635,5875,6679,6149,2631,5586,809,957,62314,14236,10352,9109,4010,4906,2600,2246,2455,1556,1162,1620,597,941,807,753,1002,1009,1793,90691,76691,11846,1685,3156,1662,20752,17949,2434,54,,,,,,,
2008-07-01,825012,619840,237947,101192,155231,66038,12124,10391,6747,5662,6283,3048,5376,925,709,81896,18618,14616,10067,5193,6434,4679,2234,3364,2442,1492,1951,819,1506,879,1195,993,1238,2469,92750,72992,15716,3399,3849,2445,24079,20652,3160,129,,,,,,,
2008-08-01,742022,566171,248154,92976,119255,54047,8379,7785,5189,4282,6227,2897,5632,869,698,77963,16274,13637,9470,6963,5924,7063,1816,2585,1646,1032,1590,928,850,714,962,1700,956,2006,72775,57121,13156,1951,2758,1479,20224,17231,2700,125,,,,,,,
2008-09-01,641235,461961,159523,93921,102304,39251,13355,10970,7770,9634,5935,3545,5535,1103,996,74571,16499,11506,11174,4736,4874,4336,2623,2980,2120,1446,1316,1213,1230,886,1234,1050,1046,1636,72227,57851,11515,2236,3416,1743,27351,23689,3356,73,,,,,,,
2008-10-01,738832,529183,188804,86570,126308,45546,22602,13849,10378,8410,6493,3061,5541,2081,788,96700,20803,15773,14763,5879,6484,4355,3762,3948,3165,1757,1976,1156,1706,1402,1765,1080,1181,2154,85248,68058,14201,2300,4112,2047,21340,18200,2820,95,,,,,,,
2008-11-01,553491,387923,117518,73131,93540,35787,12184,18358,9291,4389,5885,2693,5637,1028,798,72180,15897,11214,11460,4600,5838,3236,2503,2833,1949,1248,1356,845,1379,786,1118,817,861,2078,71090,56044,12752,1811,3396,2020,16768,14334,2157,56,,,,,,,
2008-12-01,513354,354442,108002,53599,70967,42480,11969,28208,13126,6173,5845,2467,3951,522,632,57629,14835,9259,6909,4254,4431,2398,2063,2380,1460,863,1646,542,740,664,870,839,865,1553,71251,54938,14546,1481,2923,1466,25462,22114,3110,94,,,,,,,
2009-01-01,580673,433243,129756,110262,97026,46555,8724,9058,6195,2968,6655,2405,5325,556,435,51124,13598,8154,6503,2711,4688,1360,1827,2013,1175,775,1260,456,911,770,869,588,977,1612,62230,47306,13520,981,2073,1066,30319,26919,3085,72,,,,,,,
2009-02-01,408628,290781,106929,62981,59248,22116,10563,5055,4390,2496,4057,2516,3941,590,547,46976,11305,7606,7787,2546,2687,1737,1611,1954,1314,816,1389,394,949,795,892,408,687,1183,48797,38837,8848,779,1735,806,19122,17101,1846,34,,,,,,,
